公司名稱,產業別(大類),產業別(中類),產業別(小類),地區,面試評價,面試難度,上班心情,加班頻率,平均月薪,面試心得數,薪資情報數,資本額
裕隆集團_納智捷汽車股份有限公司,傳產製造,運輸工具,汽車及其零件製造業,苗栗,3.8,低,平常心,偶爾加班,39k,18,20,"9,800,000,000"
Luxgen_北智捷汽車股份有限公司,資訊科技,半導體業,半導體製造業,臺北,3.1,簡單,平常心,偶爾加班,39.8k,6,7,"185,000,000"
LUXGEN納智捷汽車_中智捷汽車股份有限公司,傳產製造,運輸工具,汽車及其零件製造業,臺中,3.9,低,有苦說不出,常常加班,34.1k,6,13,"106,000,000"
裕隆集團_裕隆汽車製造股份有限公司,其他,,,苗栗,3.4,低,有苦說不出,偶爾加班,41.9k,90,136,"20,000,000,000"
裕隆集團_裕隆日產汽車股份有限公司,資訊科技,電腦週邊,電腦及其週邊設備製造業,苗栗,3.5,低,平常心,偶爾加班,43.9k,36,88,"6,000,000,000"
中華汽車工業股份有限公司,其他,,,臺北,3.7,低,平常心,偶爾加班,40.2k,110,141,"18,000,000,000"
三陽工業股份有限公司,資訊科技,半導體業,半導體製造業,新竹,3.9,低,平常心,很少加班,38.6k,91,89,"9,500,000,000"
福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,資訊科技,電腦週邊,電腦及其週邊設備製造業,桃園,3.8,低,平常心,偶爾加班,56.6k,48,32,"790,547,770"
TOYOTA 製造商_國瑞汽車股份有限公司,其他,,,桃園,3.8,低,平常心,偶爾加班,38.3k,74,36,"3,460,000,000"
台灣本田汽車股份有限公司,其他,,,屏東,3.8,低,平常心,偶爾加班,29.4k,16,28,"2,101,000,000"
成運汽車製造股份有限公司,民生服務,批發零售,汽機車及其零配件／用品零售業,屏東,3.8,普通,還算愉快,很少加班,52k,1,9,"3,000,000,000"
華德動能科技股份有限公司,民生服務,批發零售,汽機車及其零配件用品／批發業,臺北,3.5,低,有苦說不出,偶爾加班,37.5k,10,15,"1,500,000,000"
鴻華先進科技股份有限公司,傳產製造,農林漁牧,電力供應業,新北,4.1,低,有苦說不出,偶爾加班,56.7k,11,19,"19,600,000,000"
為升電裝工業股份有限公司,其他,,,彰化,3.4,低,平常心,偶爾加班,37k,36,43,"2,000,000,000"
台灣美光_台灣美光晶圓科技股份有限公司／台灣美光記憶體股份有限公司／美商美光亞太科技股份有限公司台灣分公司,工商服務,租賃業,運輸工具設備租賃業,桃園,3.7,普通,平常心,偶爾加班,59.2k,683,653,"91,558,241,760"
Corning_台灣康寧顯示玻璃股份有限公司,傳產製造,橡膠塑膠,塑膠製品製造業,臺中,3.7,低,平常心,偶爾加班,65.8k,197,126,"70,689,254,000"
長春石油化學股份有限公司,其他,,,臺北,3.5,低,有苦說不出,偶爾加班,49.8k,84,54,"7,151,862,870"
