,date,content,poster,posterUrl
0,2023-04-14,#城市浪人 #招募倒數5天實習透視鏡的同學們好！。。你是否曾經想過，要在畢業後進入社會創新 / 非營利組織工作。更多地追尋工作中的「社會意義」與「自我價值感」？。城浪最近收到許多同學 對近期實習生招募職缺內容的提問。所以想在這和同學們分享。在非營利組織工作的實際面以及可以在城浪學習到什麼？。。-------------------------------------------------------✅ 執行長特助實習生在這個職位，你會有機會看到很多在 NPO 營運面上真實的掙扎取捨，與組織理念堅持的不容易。如果你對於如何營運及管理一個非營利組織 / 社會創新組織有興趣。也想嘗試把企管 / 商業管理概念應用在非營利組織。協助在做有社會意義的單位。那你會有機會討論並參與到。真正的社會創新組織在「重新設計」的策略過程。。✦ 可學習項目：1. 組織營運思維。2. 策略思考能力。3. 洞察問題能力。4. 多工工作化能力。-------------------------------------------------------✅ 客戶關係經營實習生在這個職位你可以，從 0 到 1 參與到商業模式的建立。如果你對於教育創新創業感興趣。也期待擁有自己獨立完成的實習代表作，歡迎你加入！。今天，就是那個值得放手一搏的好日子！。。因為「城市浪人」是個難得的實踐場域。可以把你學到的管理工具嘗試運用在組織的測試上！。說不定會發現理論與實際面的落差、也能學習到如何 Build the gap !。✦ 可學習項目：1. 如何創建高黏著度社群。2. 2C 關係的經營。3. 商業模式的建立。---✦---招募申請表 ---✦---🁢 執行長特助實習生：https://lihi3.cc/vrMk1工作項目說明。1. 協助創新非營利組織的制度規劃與設計。    包括相關文件表單之建立。2. 申請外部資源之串接與相關企劃撰寫及行政事項。（例：補助獎項等）。3. 協助研擬組織未來業務發展之前置規劃與調查、蒐集相關資。4. 其他主管交辦事務。🁢 客戶關係經營實習生：https://lihi3.cc/8HIw1工作項目說明1. 會員關係經營策略的參與。2. 會員制度商模討論的參與。3. 會員活動企劃與現場執行。---✦---招募時程更新---✦---申請階段：即日起 ～04/18 (二) 23:59 截止收件面試期間：4/10 (一) - 4/28 (五)面試邀約：即日起 - 4/21 (五)。---✦---招募基本說明---✦---【公司名稱】社團法人國際城市浪人育成協會【工作職缺】執行長特助實習生／客戶關係經營實習生【實習時程】2023 年 5 月～2024 年 1 月底【工作時間】週一到週五 10:00－19:00（一週至少排 16 小時到班，可以主管協商彈性調配的方式，不用全天到班）【工作地點】台北 NPO 聚落（台北市中正區重慶南路三段二號）【薪資待遇】提供符合規定之基本時薪，含勞保勞退【連絡方式】請依照徵才表單要求格式 寄電子信件至 service@citywanderer.o,Jiru Lee,/profile.php?id=100000404898918&eav=Afa1Y-Xb9kLElKzfez3ik-074jWseOztuULEf-jm4NhgCz1cdSRUpfIfMHJvOrKuoyE&refid=18&__tn__=C-R&paipv=0
1,2023-04-13,📣歐搜哇 誠徵「網站編輯工讀生」✨。歐搜哇（https://ohsowow.agentm.tw）隸屬於關鍵評論網集團，是以韓國影視娛樂、劇評分享、韓國文化趨勢為主的網站，我們提供多樣的文章與深度內容分享給讀者，目前網站招募「網站編輯工讀生」中，歡迎對韓國影視娛樂有興趣的朋友加入我們！。【公司名稱】關鍵評論網媒體集團。【工作職缺】歐搜哇-網站編輯工讀生。【工作內容】- 協助社群文案整理以及素材製作- 協助編輯韓國相關報導文章上稿、校對- 協助撰寫韓國即時新聞- 協助網站圖文素材製作。【徵求條件】- 喜歡韓國文化以及影視作品，無論是韓綜、韓劇、韓影、KPOP、韓國流行事物等都略有涉略- 對社群媒體（FB、IG等）有所了解、文筆流暢- 擁有基礎韓語能力、基礎 PS、AI 、PR等軟體操作技能- 具備對於工作的責任感且細心看待每一件小事- 態度積極、具創意，執行力強並能準時完成任務。【工作時間】週一至週五10:00～18:00 （含午休1hr，每週至少排班3天以上）。【薪資待遇】NTD. 176元/小時，依《勞基法》規定享有勞健保。【工作地點】松菸文創園區（平時以遠端工作為主）。【加分條件】- 熟悉社群操作，有經營自媒體帳號的經驗- TOPIK 5級以上，能翻譯韓網新聞- 可長期配合（最少半年以上）者優先。【應徵方式】將履歷、作品集email至 mandywu@thepolydice.com信件主旨為【應徵_歐搜哇網站編輯工讀生_姓名】歡迎有興趣有熱情的朋友加入我們💜,吳佳昱,/mandy.wu.7568596?eav=AfbIqaP9iAyO7ssvhvneT1CGXgtsmBRQgcCYQ5NfNTyKpKeu9E6Ytw8mKlZuUpFW6yY&refid=18&__tn__=C-R&paipv=0
2,2023-02-03,📣【MakerPRO社群媒體平台】影片實習生。💼 工作內容◾️ 執行科技創新相關影片拍攝、剪輯、推廣（影片類型包括：活動花絮、人物專訪、成果影片、教學影片等。）◾️ 公司線上與線下活動協助🔴 作品可作為個人的作品集使用。⭐ 徵求條件◾️ 作業工具：熟悉Adobe Premiere◾️ 個人經驗：具有活動花絮、採訪影片、教學影片等相關剪輯經驗◾️ 個性特質：積極主動有責任感、交付工作都能準時完成◾️ 個人期待：對新科技及創客有興趣者🔴加分條件：擅AI、AE、Arctime、三軸穩定器、看過很多電影…等(請於履歷內加註)。⭐ 公司資源◾️軟體資源：Adobe全套、Motionelement 無線下載方案◾️電腦資源：Mac Studio、外接螢幕（可用自己的）◾️攝影資源：Canon系列單眼相機&鏡頭、三軸穩定器、收音＆燈光設備◾️其他資源：辦公室零食、飲料、茶包＆咖啡包無限使用----------------------🌱 學歷條件：大學以上在學生(應屆畢業生及休學生可)🌱 有薪實習：176/hr (有勞保)🌱 可上班日：5月初🌱 排班時段：固定每週工作日排班至少9hr🌱 工作地點：MakerPRO古亭基地(台北市中正區羅斯福路2段44號 5樓之2)。🌱 實習合約：6個月🔴實習/兼職 期間公司可依照業務需求調整排班時數或終止實習🔴後續可依 實習/兼職 期間表現雙方討論是否續約。📭履歷寄送信箱：sandy.liu@makerpro.cc、owen.ou@makerpro.cc🔴 信件開頭請務必標註【應徵ＸＸ實習生】！！🔴 兩個信箱一定都要寄喔！！🔴 採先到先審制，敬請踴躍投遞。👩‍💻 歷屆實習心得：https://makerpro.cc/intern-of-2017/internship-reviews/----------------------👋關於  MakerPRO社群媒體平台Maker（自造者、創客）是推動全球Bottom-up共創經濟的一場運動，其中PRO Maker扮演重要的承先啟後角色：可以創新創業，也可以作育英才，我們（MakerPRO）則是匯聚PRO Maker力量的一個社群交流平台：◾️MakerPRO官網： https://makerpro.cc/◾️MakerPROYouTube：https://www.youtube.com/channel/UCxm2A4FX0cUrEBlQ7onW7XA◾️MakerPRO臉書粉專：https://www.facebook.com/makerpro.cc,劉庭芸,/sandy861201?eav=AfbnHdoWao-f5jXAD74JKT7kYLJ7TVix6WRWcamgsETfYzt-1NcjdCuSuhgpJSG1PuA&refid=18&__tn__=C-R&paipv=0
3,2023-03-29,【實習】Market Research Intern市場研究專案實習生 【公司名稱】Kantar Taiwan_模範市場研究顧問公司 【工作職缺】市場研究專案實習生 【工作時間】面議 【薪資待遇】時薪180元以上 【有無勞健保】有 【工作地點】台北市松山區八德路三段34號3樓 【徵求條件】多益 850分以上，對人及社會有興趣、具有敏銳度、極佳的觀察力 【公司福利】國內外實體及線上專業培訓及工作經驗分享、完善的新進員工教育訓練、凱度投資全球每位同仁均能免費使用LinkedIn Learning線上學習平台等等 投遞履歷：https://www.104.com.tw/job/667sn?jobsource=ios_share #市場研究 #market research #intern,陳彥伶,/profile.php?id=100002777751582&eav=AfalGBBZQCxENyykETl-Kq9X0VAnCGwKac07_2PhzK6Fx0HLi3supdjst19gOWSW_Ss&refid=18&__tn__=C-R&paipv=0
4,2023-03-29,"【實習】SoundOn 聲浪招募社群行銷實習生如果你天馬行空、充滿想法，又剛好對新創公司充滿熱情，想跟我們一起壯大台灣的 Podcast 產業，你就是我們要找的夥伴！。【關於 SoundOn】SoundOn 為新創音頻數位媒體，面對 Podcast 在美國、中國皆造成熱潮的狀態下，希望打造全台灣第一個以「繁中市場 Podcast 生態系」為主要目標的 Podcast 平台，目前台灣共有超過 2,000 個 Podcast 使用我們的 Hosting 數據後台服務，且擁有多檔原創節目，為台灣最大的 Podcast 全生態系公司！。【職務內容】📌社群素材製作📌短片剪輯與製作（上簡單字卡）📌IG、FB 社群規劃、執行📌營運例行項目執行📌處理主管交辦事項。【工作待遇】時薪 176 元，依《勞基法》規定享有勞健保。【工作時間與地點】2023/6-7月開始10:00 - 19:00 （實際可依個人情況彈性調整，午休彈性一小時）每週至少要排班 24 小時，能到班三個整天者佳希望是能長期合作的實習生，能配合半年～一年者優先！台北市松山區（近捷運南京三民站 2 號出口），偶爾可視自身情況申請WFH。【徵求條件】熟悉 AI/PS 等製圖軟體熟悉 Premiere/Final Cut 等影片剪輯軟體基本文書處理軟體操作善與人溝通、負責任、主動積極。【加分條件】對於社交媒體有一定的認識與執行經驗者加分若有經營 Facebook 粉絲團/社團或部落格之經歷，善於網路社群之操作加分。【應徵方式】寄信主旨請打上【應徵_聲浪社群行銷實習生_你的名字】歡迎各路好手推薦或自薦，需將履歷、作品集寄到>yutin@soundon.fm",高語彤,/profile.php?id=100000576244656&eav=AfaRA97SMQtTU-zW5o6EnwU_wq-8OIrHfziC_8dWMnpGtU-bWiaEHQTbcx3cKtJ_KpI&refid=18&__tn__=C-R&paipv=0
5,2023-04-13,＃電商 #行銷策略 #業務開發 ＃長期實習📣 the job 實習生招募中！【公司名稱】the job（天鉞企管顧問股份有限公司）【工作時間】每週 2～3 天 | 09:30 - 18:00【工作地點】台北市松山區南京東路四段171號10樓之3【薪資待遇】NT$ 180 / hr，有勞健保我們目前正在招募的職缺職位…行銷部門實習生 Marketing Intern課程專案協助與執行專案文宣設計及製作協助線上課程上架其他主管交辦事務。業務開發部門實習生 Business Development Intern協助潛在客戶聯繫及業務推廣線上／下企業活動籌備與執行簡易客戶服務處理其他主管交辦事務。實習生徵求條件！擅長使用Canva 或AI 相關製圖軟體喜歡文案撰寫且對文字敏感度高個性積極主動、具備良好邏輯具有創意且細心有條理善於溝通同時也能夠獨立作業。⚡️在 the job 實習可以…✔️ 免費使用站內學習資源（涵括各類職場技能及外語課程）✔️ 認識不同領域的職場前輩，了解不同職場實務經驗並擴展人脈資源✔️ 開放且尊重的工作文化，鼓勵勇於提出及嘗試新想法。✉️ 聯繫窗口 | amy@thejob.com.tw。歡迎投遞履歷或來信詢問任何公司、實習的相關問題🙌。※投遞履歷時請於主旨告知應徵之職稱！,張雅婷,/profile.php?id=100002911904901&eav=AfZeV4SdPN2FCLrOeh83mmR0PO2Xr6B0ghHMCGwb1AZr66HaqETyPaFcC7df_tDcuu8&refid=18&__tn__=C-R&paipv=0
6,2023-04-11,"【 AWS Educate 職涯分享會｜帶你一窺 AWS 工作日常 】 正值新鮮人求職季，在面試和投遞履歷中度過總是多一份焦慮。。 這個月雲端大使為大家籌備了職涯分享會，。 邀請來自技術與非技術背景的AWS內部員工與大家分享AWS的工作日常和面試準備。 不管是在AWS 工作需要具備哪些技能🔧。 還是如何在Amazon的面試中脫穎而出🤩。 在這場活動中，雲端大使榮幸邀請到 AWS內部員工 (Cloud Support, Business Development 和 Marketing)。 分享成功降落 AWS 的歷程與必備技能 ✅。 也會透過精彩的 panel discussion 環節，。 帶大家了解成為 Amazonian，。 不論有沒有技術背景，。 只要對雲端產業充滿熱情，。 和規劃以後想進入外商，千萬別錯過💪。 活動乾貨滿滿，絕對讓你滿載而歸!!! 參加這場職涯分享 Workshop 能獲得什麼❓。 ☁️ Cloud Support | 大學新鮮人加入 AWS 的心路歷程和面試技巧分享 🤩。 ☁️ Business Development | 帶你了解進入AWS需要具備的特質、特質，工作上的實戰經驗、如何有效地主動發現客戶的需求🔥。 ☁️ Marketing | 身為文組生跨入科技業會需要補強哪些軟硬實力，讓想進入科技業的你及早做準備，贏在起跑點 😎 | 活動資訊 |。  時間：2023 年 4 月 28 日（五） 18：30 ~ 21：15（18：00入場）。  地點：AWS 臺北辦公室。  適合對象 : 對雲端運算或科技業有興趣的同學或社會人士。  費用：全程免費！。  報名連結：https://www.surveycake.com/s/4LPg7 👈 點開報名表有工作坊詳細規劃內容呦～。 🔔 因活動需求，當日需自行攜帶電腦！。 🔔 報到時請出示AWS Educate 註冊頁面（註冊連結：https://awseducate.tw/3） #AWS #AWSEducate #AWSStartup #AWSEducateCloudAmbassador #CloudComputing",陳韞茵,/sharonchen.1012?eav=AfZwPZbfsc7mf8wOIa0Yl0z5zdextSqevSWk3YZ29uugoUOkRIuvNudtNuAU3gO3_V0&refid=18&__tn__=C-R&paipv=0
7,2023-03-25,#城市浪人第14屆實習生招募開跑啦。📣 我們正在招募：執行長特助實習生 1 名。客戶關係經營實習生 1 名。「好想在大學畢業前，找到未來更多的可能性噢！」。「難道讀什麼科系就一定要做什麼工作嗎？🙁」。「我想為了自己認同的價值，再勇敢嘗試一次！」。如果這是你內心的吶喊。城市浪人就是你的最佳應援團 💪。加入我們，用不同角度挖掘出自己閃亮亮的特質。重新裝備起屬於自己使命感的披風，迎風起飛！。城市浪人即日起。為你預備一扇通往更多可能性的大門。我們將這扇門的金鑰交在你的手中🔑。你可以選擇自己打開這扇門。一起和我們展開 屬於自己獨一無二的旅程！。---✦---招募說明---✦----【執行長特助實習生】1名✅ 工作項目：1. 協助創新非營利組織的制度規劃與設計。    包括相關文件表單之建立2. 申請外部資源之串接與相關企劃撰寫及行政事項（例：補助獎項等）3. 協助研擬組織未來業務發展之前置規劃與調查、蒐集相關資訊4. 其他主管交辦事務。✦ 可學習項目：1. 組織營運思維。2. 策略思考能力。3. 洞察問題能力。4. 多工工作化能力。【客戶關係經營實習生】1名✅ 工作項目：1. 會員關係經營策略的參與。2. 會員制度商模討論的參與。3. 會員活動企劃與現場執行。✦ 可學習項目：1. 如何創建高黏著度社群。2. 2C 關係的經營。3. 商業模式的建立。✦ 申請階段：即日起 ～04/02（日）23:59 截止收件✦ 面試階段：04/10（一）～04/14（五）。✦ 招募申請表：執行長特助實習生：https://lihi3.cc/6GuiI客戶關係經營實習生：https://lihi3.cc/ngluM。【公司名稱】社團法人國際城市浪人育成協會【工作職缺】執行長特助實習生／客戶關係經營實習生【實習時程】2023 年 4 月～2024 年 1 月底【工作時間】週一到週五 10:00－19:00（一週至少排 16 小時到班，可以主管協商彈性調配的方式，不用全天到班）【工作地點】台北 NPO 聚落（台北市中正區重慶南路三段二號）【薪資待遇】提供符合規定之基本時薪，含勞保勞退【連絡方式】請依照徵才表單要求格式 寄電子信件至 service@citywanderer.org。🔎 還不確定自己適不適合城浪嗎？歡迎來看看我們在做什麼：臉書粉專｜https://www.facebook.com/citywanderer/城浪官網｜https://citywanderer.org/。,Jiru Lee,/profile.php?id=100000404898918&eav=Afbc9h9VM-2UrkwLy0TCXny2CkpOKZ6ykaWoa2ebYn1jLDWIMxk0IiEcUWXJVpZ-N0c&refid=18&__tn__=C-R&paipv=0
8,2023-04-13,｜你正在找實習或工作嗎？快來這邊看看有沒有適合你的職缺｜。 我是 Yourator 數位人才媒合平台實習生Fiona，Yourator主要幫助你找到心儀的實習、工作！ 📍精選職缺。 iKala、Dcard、ACCUPASS 等知名企業熱烈徵才中🔥 📍 MA 儲備幹部。  MA 儲備幹部擁有明確的培訓與升遷制度，以「培養未來幹部」為目的，想要擁有較多學習資源與發展機會嗎？歡迎新鮮人加入儲備幹部的行列吧！ 📍 新鮮人 / 實習生。 特別精選幾家熱門實習，包含眾所皆知的 app 美圖秀秀的玩美公司，以及高價時薪的實習工作！還有 Yourator 正招募銷售業務實習生，歡迎你加入我們！ 點擊以下連結查看更多職缺，註冊即可投遞履歷 🎯。 點擊連結加入→ https://reurl.cc/NqlOZk 📍iCHEF - 幫助餐飲業擴大徵才。 🔥 從兼職到正職、前台到後場，熱門餐廳職缺任你挑 🔥。 我們幫各位精選幾家知名餐廳，包含 COCA 泰式海鮮火鍋、醴本、Hala chicken 等 。 即便是零經驗，想體驗餐飲業的工作內容都非常歡迎投遞履歷！ 若想了解更多餐飲業職缺，你只需要點擊下方連結 🎯。 點擊連結加入→ https://lihi3.cc/JITvI,鄭舫,/profile.php?id=100002305011152&eav=AfbgPugimdPdhcmjMM-bcKV4GFW8ZYaCy8l4ETOlugWdDDLo3RSOS0OMgOR7X8SPKms&refid=18&__tn__=C-R&paipv=0
9,2023-04-14,嗨大家！想要跟你們分享一個超棒的消息！ 你們有興趣認識緯創高階主管和換日線編輯，對自己的職涯未來更上一層樓嗎？那就千萬別錯過這次的「Restart：夢想選擇地！未來人才浪潮」活動啦！🌟 這個活動本身是緯創資通的人才培訓跟招募計劃的說明會。 這個免費活動將於2023年4月22日（星期六）在台北文創園區舉行，名額有限哦～趕快報名卡位吧！🏃‍♂️🏃‍♀️ 這次活動特別邀請了放棄美國千萬年薪AI研究員的台大資工系副教授陳縕儂、緯創資通個人運算產品事業群處長Danny Chang、以及換日線頻道總監張翔一等業界大咖，與大家分享他們的職涯心得和趨勢分析！💼🚀 想要在AI時代把握職涯先機，這個活動絕對是你不可錯過的！🤩🎯 趕快點擊報名連結：https://crossing.cw.com.tw/feature/2023wistron?utm_source=wenzel。 讓我們一起探索未來人才浪潮的無限可能吧！🔥🌊 期待與你們相見在現場！😉🙌,何則文,/W.Herder?eav=Afbaz6xzLF3v_Qy6ImvnhpBWaD3ZmN_Y4ayfIJJ7MDe-qHk-dpwTvamPpEVWBUIKaHY&refid=18&__tn__=C-R&paipv=0
