vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
通路管理師,裕隆集團_納智捷汽車股份有限公司,2022.10.02,全職,新北,,,,,,,平常心,偶爾加班,8 hr,3,5,財務單位 工作上手後...,目前公司狀況不明朗 ...
專案經理,裕隆集團_納智捷汽車股份有限公司,2022.09.15,全職,新北,,,,,,,還算愉快,很少加班,8 hr,1,1,老派公司，管理層嘴巴...,不肯改變的老員工真的...
售服工程師,裕隆集團_納智捷汽車股份有限公司,2022.06.02,全職,新北,,,,,,,平常心,偶爾加班,9 hr,13,13,是間責任制的公司，多...,薪水中等，沒什麼加薪...
現場實習生,裕隆集團_納智捷汽車股份有限公司,2022.03.22,實習,新北,,,,,,,想換工作了,常常加班,10 hr,1,1,基本保養的檢測以及料...,如果對汽修真的很有興...
製程工程師,裕隆集團_納智捷汽車股份有限公司,2022.03.08,全職,臺中,,,,,,,還算愉快,很少加班,8 hr,1,1,"有許多時間可以學習
...","建議多多充實自己
..."
引擎技師,裕隆集團_納智捷汽車股份有限公司,2021.04.27,全職,新北,,,,,,,想換工作了,偶爾加班,10 hr,6,6,車輛妥善率非常差，內...,薪資尚可，休假是四天...
管理師,裕隆集團_納智捷汽車股份有限公司,2021.02.18,全職,新北,,,,,,,平常心,偶爾加班,8 hr,2,0,主管不會管太多 比較...,若是沒有太多抱負可以...
工程師,裕隆集團_納智捷汽車股份有限公司,2020.08.28,全職,新北,,,,,,,還算愉快,很少加班,9 hr,2,0,一個沒有目標的公司的...,未來可能會倒，可是可...
管理師,裕隆集團_納智捷汽車股份有限公司,2020.06.01,全職,新北,,,,,,,平常心,常常加班,9 hr,6,0,員工工作氛圍不錯，福...,主管都很年輕開明，有...
高級銷售主任,裕隆集團_納智捷汽車股份有限公司,2020.04.15,全職,臺南,,,,,,,還算愉快,常常加班,12 hr,4,0,南部分公司的待遇應該...,算是裕隆集團旗下的自...
產品公關,裕隆集團_納智捷汽車股份有限公司,2020.01.20,全職,新北,,,,,,,非常開心,準時上下班,9 hr,1,0,"基本上平常事前不多
...",因為是學校合作所以沒...
引擎技師,裕隆集團_納智捷汽車股份有限公司,2019.02.16,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,2,0,主管影響心情，公司新...,做修車這個行業，興趣...
專案管理,裕隆集團_納智捷汽車股份有限公司,2019.01.22,全職,新北,,,,,,,平常心,很少加班,-,7,0,,
技術員,裕隆集團_納智捷汽車股份有限公司,2018.05.18,全職,苗栗,,,,,,,平常心,常常加班,-,3,0,,
銷售訓練管理師,裕隆集團_納智捷汽車股份有限公司,2017.07.19,全職,新北,,,,,,,有苦說不出,準時上下班,-,1,0,,
零件服務部/管理師,裕隆集團_納智捷汽車股份有限公司,2017.03.28,全職,新北,,,,,,,平常心,很少加班,-,4,0,加薪幅度緩慢，一開始...,
技師,Luxgen_北智捷汽車股份有限公司,2021.01.20,全職,臺北,,,,,,,有苦說不出,常常加班,10 hr,4,0,業績制度 如考過公司...,這裡是看實力決定你的...
接待專員,Luxgen_北智捷汽車股份有限公司,2020.09.18,全職,臺北,,,,,,,平常心,偶爾加班,9 hr,2,0,接待車輛、開立工單跟...,納智捷的車其實不錯，...
測試工程師,Luxgen_北智捷汽車股份有限公司,2019.06.28,全職,新北,,,,,,,平常心,偶爾加班,8 hr,3,0,測試項目不多，但每項...,Luxgen營運每況...
業務,Luxgen_北智捷汽車股份有限公司,2018.01.26,全職,臺北,,,,,,,還算愉快,偶爾加班,-,1,0,納智捷本身有完善的教...,
業務,Luxgen_北智捷汽車股份有限公司,2016.07.28,全職,新北,,,,,,,平常心,賣肝拼經濟,-,1,0,,
業務,Luxgen_北智捷汽車股份有限公司,2016.01.18,全職,新北,,,,,,,平常心,偶爾加班,-,3,0,,
行政會計,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2022.02.01,全職,臺中,,,,,,,平常心,常常加班,9 hr,4,8,就是很標準的服務業環...,公司文化制度基本上不...
技師,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2021.12.31,全職,臺中,,,,,,,想換工作了,賣肝拼經濟,12 hr,3,3,常常加班、太以客為尊...,想學電系是個不錯的地...
技工,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2020.10.16,全職,臺中,,,,,,,想換工作了,常常加班,11 hr,2,0,"福利尚可,可以學習到...",如要學習汽車維修電子...
工讀生,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2020.08.29,全職,臺中,,,,,,,平常心,偶爾加班,8 hr,1,0,會有人帶，工作上都可...,比較適合活潑，然後有...
引擎技師,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2020.05.14,全職,彰化,,,,,,,平常心,偶爾加班,8 hr,3,0,以汽車服務廠來說待遇...,"這是一家不錯的公司
..."
專員,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2019.09.24,全職,彰化,,,,,,,還算愉快,偶爾加班,9 hr,2,0,壓力很大，KPI項目...,要有精明的頭腦也要有...
倉管人員,裕隆集團_裕隆汽車製造股份有限公司,2023.05.01,全職,苗栗,30-31k,500-510k,140k,,,,想換工作了,很少加班,8 hr,1,1,"這裡的工作基本上都是跟著輸送帶作業的(汽車組裝也是輸送帶)有夠操的啦
我被分到的是撿料人員(把汽車零件裝在無人車箱子裡)無人車會自己送過去給輸送帶上的人做",體力好再來 雖然環境不會有噪音或是粉塵 可是工作都是跟著輸送帶的 不能慢的那種 也就是你要一直做 然後還要快 不然組裝線上的會沒零件裝 然後車還要停超遠的 用走的到工作場所
生產技術工程師,裕隆集團_裕隆汽車製造股份有限公司,2023.03.06,全職,苗栗,45-46k,720-730k,120k,38k,18k,12k,想換工作了,常常加班,10 hr,3,5,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師",如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情
工程師,裕隆集團_裕隆汽車製造股份有限公司,2023.02.28,全職,苗栗,43-44k,680-690k,86k,86k,,,有苦說不出,常常加班,9 hr,1,10,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情","想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來"
品檢技術員,裕隆集團_裕隆汽車製造股份有限公司,2022.11.23,全職,苗栗,31-32k,560-570k,150k,40k,,,有苦說不出,很少加班,9 hr,8,10,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。,傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。
製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.09.20,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,1,6,"工程師做PM的工作,...",公司架構無產銷人發財...
銷售員,裕隆集團_裕隆汽車製造股份有限公司,2022.09.01,全職,臺北,,,,,,,平常心,很少加班,8 hr,1,1,在信義區的汽車銷售中...,對汽車銷售有興趣的可...
工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.08.31,全職,苗栗,,,,,,,平常心,常常加班,9 hr,3,6,裕隆汽車本質就是代工...,年輕人不要來，這裡沒...
設備開發,裕隆集團_裕隆汽車製造股份有限公司,2022.08.17,全職,苗栗,,,,,,,平常心,常常加班,9 hr,3,3,工作環境依不同廠區會...,面試要考英文~需要高...
研發技術軟體工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.08.04,全職,苗栗,,,,,,,還算愉快,常常加班,9 hr,1,2,"醫材研發
機構控制...","工作環境不太優
工..."
工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.21,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,1,1,工作還算輕鬆，整年大...,與主管間的關係要維持...
製程改善工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.19,全職,苗栗,,,,,,,想換工作了,準時上下班,8 hr,1,5,"自己找課題
出事自...","混日子可以
想學東..."
製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.18,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,5,負責引擎生產的製程改...,"很台商
要很會做報..."
品保工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.29,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,10,10,任何跟車輛品質相關異...,近幾年裕隆轉變很大....
