,aID,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,   ,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content,whole_art,word
0,0,通路管理師,裕隆集團_納智捷汽車股份有限公司,2022.10.02,全職,新北,,,,,,,平常心,偶爾加班,8 hr,3,5,財務單位 工作上手後...,目前公司狀況不明朗 ...,財務單位 工作上手後。目前公司狀況不明朗 ,"['財務', '單位', '工作', '上手', '公司', '狀況', '明朗']"
10,1,專案經理,裕隆集團_納智捷汽車股份有限公司,2022.09.15,全職,新北,,,,,,,還算愉快,很少加班,8 hr,1,1,老派公司，管理層嘴巴...,不肯改變的老員工真的...,老派公司，管理層嘴巴。不肯改變的老員工真的,"['老派', '公司', '管理', '嘴巴', '肯', '改變', '員工']"
24,2,售服工程師,裕隆集團_納智捷汽車股份有限公司,2022.06.02,全職,新北,,,,,,,平常心,偶爾加班,9 hr,13,13,是間責任制的公司，多...,薪水中等，沒什麼加薪...,是間責任制的公司，多。薪水中等，沒什麼加薪,"['責任制', '公司', '薪水', '中等', '加薪']"
34,3,現場實習生,裕隆集團_納智捷汽車股份有限公司,2022.03.22,實習,新北,,,,,,,想換工作了,常常加班,10 hr,1,1,基本保養的檢測以及料...,如果對汽修真的很有興...,基本保養的檢測以及料。如果對汽修真的很有興,"['保養', '檢測', '汽修', '興']"
48,4,製程工程師,裕隆集團_納智捷汽車股份有限公司,2022.03.08,全職,臺中,,,,,,,還算愉快,很少加班,8 hr,1,1,"有許多時間可以學習
...","建議多多充實自己
...",有許多時間可以學習。。建議多多充實自己。,"['時間', '學習', '建議', '充實']"
55,5,引擎技師,裕隆集團_納智捷汽車股份有限公司,2021.04.27,全職,新北,,,,,,,想換工作了,偶爾加班,10 hr,6,6,車輛妥善率非常差，內...,薪資尚可，休假是四天...,車輛妥善率非常差，內。薪資尚可，休假是四天,"['車輛', '妥善率', '差', '薪資', '尚可', '休假']"
66,6,管理師,裕隆集團_納智捷汽車股份有限公司,2021.02.18,全職,新北,,,,,,,平常心,偶爾加班,8 hr,2,0,主管不會管太多 比較...,若是沒有太多抱負可以...,主管不會管太多 比較。若是沒有太多抱負可以,"['主管', '抱負']"
79,7,工程師,裕隆集團_納智捷汽車股份有限公司,2020.08.28,全職,新北,,,,,,,還算愉快,很少加班,9 hr,2,0,一個沒有目標的公司的...,未來可能會倒，可是可...,一個沒有目標的公司的。未來可能會倒，可是可,"['目標', '公司', '未來', '倒']"
89,8,管理師,裕隆集團_納智捷汽車股份有限公司,2020.06.01,全職,新北,,,,,,,平常心,常常加班,9 hr,6,0,員工工作氛圍不錯，福...,主管都很年輕開明，有...,員工工作氛圍不錯，福。主管都很年輕開明，有,"['員工', '工作氛圍', '不錯', '主管', '年輕', '開明']"
99,9,高級銷售主任,裕隆集團_納智捷汽車股份有限公司,2020.04.15,全職,臺南,,,,,,,還算愉快,常常加班,12 hr,4,0,南部分公司的待遇應該...,算是裕隆集團旗下的自...,南部分公司的待遇應該。算是裕隆集團旗下的自,"['南部', '分公司', '待遇', '裕隆', '集團', '旗下']"
