,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
0,通路管理師,裕隆集團_納智捷汽車股份有限公司,2022.10.02,全職,新北,,,,,,,平常心,偶爾加班,8 hr,3,5,財務單位 工作上手後...,目前公司狀況不明朗 ...
1,專案經理,裕隆集團_納智捷汽車股份有限公司,2022.09.15,全職,新北,,,,,,,還算愉快,很少加班,8 hr,1,1,老派公司，管理層嘴巴...,不肯改變的老員工真的...
2,售服工程師,裕隆集團_納智捷汽車股份有限公司,2022.06.02,全職,新北,,,,,,,平常心,偶爾加班,9 hr,13,13,是間責任制的公司，多...,薪水中等，沒什麼加薪...
3,現場實習生,裕隆集團_納智捷汽車股份有限公司,2022.03.22,實習,新北,,,,,,,想換工作了,常常加班,10 hr,1,1,基本保養的檢測以及料...,如果對汽修真的很有興...
4,製程工程師,裕隆集團_納智捷汽車股份有限公司,2022.03.08,全職,臺中,,,,,,,還算愉快,很少加班,8 hr,1,1,"有許多時間可以學習
...","建議多多充實自己
..."
5,引擎技師,裕隆集團_納智捷汽車股份有限公司,2021.04.27,全職,新北,,,,,,,想換工作了,偶爾加班,10 hr,6,6,車輛妥善率非常差，內...,薪資尚可，休假是四天...
6,管理師,裕隆集團_納智捷汽車股份有限公司,2021.02.18,全職,新北,,,,,,,平常心,偶爾加班,8 hr,2,0,主管不會管太多 比較...,若是沒有太多抱負可以...
7,工程師,裕隆集團_納智捷汽車股份有限公司,2020.08.28,全職,新北,,,,,,,還算愉快,很少加班,9 hr,2,0,一個沒有目標的公司的...,未來可能會倒，可是可...
8,管理師,裕隆集團_納智捷汽車股份有限公司,2020.06.01,全職,新北,,,,,,,平常心,常常加班,9 hr,6,0,員工工作氛圍不錯，福...,主管都很年輕開明，有...
9,高級銷售主任,裕隆集團_納智捷汽車股份有限公司,2020.04.15,全職,臺南,,,,,,,還算愉快,常常加班,12 hr,4,0,南部分公司的待遇應該...,算是裕隆集團旗下的自...
10,產品公關,裕隆集團_納智捷汽車股份有限公司,2020.01.20,全職,新北,,,,,,,非常開心,準時上下班,9 hr,1,0,"基本上平常事前不多
...",因為是學校合作所以沒...
11,引擎技師,裕隆集團_納智捷汽車股份有限公司,2019.02.16,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,2,0,主管影響心情，公司新...,做修車這個行業，興趣...
12,專案管理,裕隆集團_納智捷汽車股份有限公司,2019.01.22,全職,新北,,,,,,,平常心,很少加班,-,7,0,,
16,零件服務部/管理師,裕隆集團_納智捷汽車股份有限公司,2017.03.28,全職,新北,,,,,,,平常心,很少加班,-,4,0,加薪幅度緩慢，一開始...,
17,技師,Luxgen_北智捷汽車股份有限公司,2021.01.20,全職,臺北,,,,,,,有苦說不出,常常加班,10 hr,4,0,業績制度 如考過公司...,這裡是看實力決定你的...
18,接待專員,Luxgen_北智捷汽車股份有限公司,2020.09.18,全職,臺北,,,,,,,平常心,偶爾加班,9 hr,2,0,接待車輛、開立工單跟...,納智捷的車其實不錯，...
19,測試工程師,Luxgen_北智捷汽車股份有限公司,2019.06.28,全職,新北,,,,,,,平常心,偶爾加班,8 hr,3,0,測試項目不多，但每項...,Luxgen營運每況...
20,業務,Luxgen_北智捷汽車股份有限公司,2018.01.26,全職,臺北,,,,,,,還算愉快,偶爾加班,-,1,0,納智捷本身有完善的教...,
23,行政會計,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2022.02.01,全職,臺中,,,,,,,平常心,常常加班,9 hr,4,8,就是很標準的服務業環...,公司文化制度基本上不...
24,技師,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2021.12.31,全職,臺中,,,,,,,想換工作了,賣肝拼經濟,12 hr,3,3,常常加班、太以客為尊...,想學電系是個不錯的地...
25,技工,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2020.10.16,全職,臺中,,,,,,,想換工作了,常常加班,11 hr,2,0,"福利尚可,可以學習到...",如要學習汽車維修電子...
26,工讀生,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2020.08.29,全職,臺中,,,,,,,平常心,偶爾加班,8 hr,1,0,會有人帶，工作上都可...,比較適合活潑，然後有...
27,引擎技師,LUXGEN納智捷汽車_中智捷汽車股份有限公司,2020.05.14,全職,彰化,,,,,,,平常心,偶爾加班,8 hr,3,0,以汽車服務廠來說待遇...,"這是一家不錯的公司
..."
