,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
0,倉管人員,裕隆集團_裕隆汽車製造股份有限公司,2023.05.01,全職,苗栗,30-31k,500-510k,140k,,,,想換工作了,很少加班,8 hr,1,1,"這裡的工作基本上都是跟著輸送帶作業的(汽車組裝也是輸送帶)有夠操的啦
我被分到的是撿料人員(把汽車零件裝在無人車箱子裡)無人車會自己送過去給輸送帶上的人做",體力好再來 雖然環境不會有噪音或是粉塵 可是工作都是跟著輸送帶的 不能慢的那種 也就是你要一直做 然後還要快 不然組裝線上的會沒零件裝 然後車還要停超遠的 用走的到工作場所
1,生產技術工程師,裕隆集團_裕隆汽車製造股份有限公司,2023.03.06,全職,苗栗,45-46k,720-730k,120k,38k,18k,12k,想換工作了,常常加班,10 hr,3,5,"公司算是老公司，所以做法非常老派，但是非常穩定可以穩穩的待
1.因為要解析車子的問題但是因為公司內部的流程做法讓解析的動作會變得非常的困難
2.上層主管會使用各種活動減少成本及提高產能，但是這個活動本身就會造成工程師很多的困擾卻還是一直壓迫工程師",如果想進裕隆的朋友是非常喜歡寫報告及報告的人那這一間你會非常適合同一份報告，你可以寫三次分不同的場合報告，然後每個主管又有每個主管的看法跟意見是一個非常沒效率的事情
2,工程師,裕隆集團_裕隆汽車製造股份有限公司,2023.02.28,全職,苗栗,43-44k,680-690k,86k,86k,,,有苦說不出,常常加班,9 hr,1,10,"報告很多，實用價值低
會議很多，有開等於沒開，開完一堆追蹤
對主要專精車輛事業不如中華汽車
老派管理思維
總經理罵人已達羞辱等級
老鳥很冷莫，也可能是流動性高到對新人提不起熱情","想學報告製作的可以來
抗壓、奴性強可來
不在意工作樂趣可來
不追求成就感可來
想比傳產還高年終者可來"
3,品檢技術員,裕隆集團_裕隆汽車製造股份有限公司,2022.11.23,全職,苗栗,31-32k,560-570k,150k,40k,,,有苦說不出,很少加班,9 hr,8,10,組車零件進料檢出，關係企業供應商不好搞，常搬出集團的長官壓你，廠商送來零件沒有在出貨檢卻要你在公司內去做進料檢，然後檢驗零件還跟你玩充實度，檢驗多少零件花多少時間(算到秒連上廁所時間都沒給你)。,傳產薪資待遇，科技業不人性管理，除了苗栗三義、銅鑼附近的人推薦，其他要三思，學車廠經驗OK不宜久待，廠房設備都20~30年，集團已經沒心投資未來可能會走向全面進口代理路線。
4,出納專員,裕隆集團_裕隆日產汽車股份有限公司,2022.11.03,全職,臺中,32-33k,380-390k,,,,,想換工作了,賣肝拼經濟,10 hr,1,1,"1. 薪資，面試時說碩士高於32000，因為32000在公司是大學畢業生的價碼，結果拿到薪資單一樣只有32000左右，頂多33000。
2. 加班，薪資沒增加就算了，但上班要提早去打掃和點名，下班工作沒做完要先打卡，做完才能走，如果你直接走，隔天一定會被唸。基本上每天都會延遲下班。
3.不能有問題，要求新人教一次就要融會貫通，問問題一定會被唸，動作比較慢也是。
4.被霸凌，新人一犯錯到最後直接罵，什麼都罵，發現你學比較慢就對你貼上不認真的標籤，從此沒好日子過，基本上每天都會被罵，就算撐到下午，一樣會找事情電你。
5.有問題不聯絡你，打電話直接到家裡，這點我真的傻爆眼，我接起來跟我說要找X先生（我爸的名字），結果是講有關我的事情，我爸直接請他打給我。
6.工作雜到不行，業助的工作也是你的工作。
7.考核會出鳥題目，各種刁鑽狀況，你應付得卡卡一樣被唸，前輩會演奧客來讓你考試。考當日帳款確認也會故意把帳弄亂，讓你在短時間內要把帳抓出來整理清楚，一樣太慢或是找主管討論會被唸。
8.交接根本不是交接，最後一天要歸還東西了，還要你繼續把交接表上列的工作做完才能走，請問這叫什麼交接？都做完了還交接個毛？導致我隔天還要再跑一趟辦程序。
9.主管休假還會打電話到公司電你，沒接到他的一通電話就直接爆氣說為什麼掛他電話？上班根本很少用手機，打line沒接到不知道在氣什麼...","如果你夠奴再來,基本上每天都要加班,沒加班主管還會跟同事私底下抱怨你,請假也會被講壞話,就是一個很表面的公司試好聲好氣,取後各種刁難,職也不會放過你,壓榨到最
後一刻,表根本沒有什麼工作需要交接的。
有問題跟中階主管反應也沒用,絕對挺資深專員,甚至我離職想當面道謝也放我鴿子,說離手
續當天可以直接去位找他,結果他休假,明明前一天還有通電話確認。
總之中部據點絕對不要來!"
5,商品企劃,裕隆集團_裕隆日產汽車股份有限公司,2022.01.06,全職,苗栗,48-49k,570-580k,5,2,,,有苦說不出,常常加班,10 hr,6,6,"主要工作內容
市場分析, 消費者分析, 競爭車款分析,獲利分析,銷售預估與年度產品提案等
這個部門的工作氛圍還算不錯, 但整體來說裕隆還算是比較傳統的公司, 要升職主要還是要看年資,當然會參考工作表現
福利條件在中部地區算是不錯的, 如果當年度銷售與獲利狀況不錯的話, 應該可以領得蠻開心的
工作時間, 因為這工作算有一定的專業度, 所以工作時間普遍比較長, 尤其一開始剛接觸的時候需要多花點心力學習, 等上手之後會比較好","對汽車產業有興趣的可以考慮
雖然工作蠻辛苦的,但可以累積汽車相關知識與技能"
6,開發工程師,中華汽車工業股份有限公司,2023.05.04,全職,桃園,50-51k,900-910k,200k,100k,,,想換工作了,常常加班,11 hr,2,5,中華的開發工程師可以想像成就是車體零件的PM，要負責盯設計出圖以及跟廠商檢討工法該如何生產，還包括了模具價格是否合理，後續試裝的零件品質控管，其實工作內容真的包山包海，要周旋在廠內跟協力廠之間，覺得是很吃人格特質的工作，因為會不停的有人打電話問你問題，你也需要不停的追各種進度，要很能耐得住煩,中華以傳產來說算是薪水相當不錯，但是學歷會有很大的落差，以我和同事來說，我有碩士學歷而同事是大學學歷，年薪可以落差20幾萬，所以同工不同酬的情況很嚴重，建議學歷真的要有碩士
7,設備維護技師,中華汽車工業股份有限公司,2023.03.07,全職,桃園,34-35k,400-410k,,,,,有苦說不出,常常加班,9 hr,1,1,"日常點檢：需要進行日常的點檢工作，檢查設備的各項指標是否正常，如設備的工作狀態、設備的電氣設施、設備的系統等。當發現異常情況時，需要及時進行處理，以保證設備的正常運轉。

設備保養：例如更換零部件、維修機械結構等。定期進行設備保養，例如更換潤滑油、清洗機器等。

電氣設施查修及故障排除：除了機械方面的維護工作，還需要進行電氣設施的查修及故障排除工作，例如維修變壓器、電動機、控制系統等，以確保設備系統正常運轉。

需要參與設備面製程改善工作，例如協助工程師進行設備改進、提高設備運行效率等。此外，當需要修改設備控制系統或機械結構時，需要參與相關的執行與施作工作。",其實薪資福利還算不錯，不過人力不足導致需要常態性加班，組內年齡斷層太大，導致團隊間溝通不順暢團隊氛圍不佳，離職時只剩下一位新人還在繼續撐。
8,職員工程師,中華汽車工業股份有限公司,2023.01.06,全職,桃園,39-40k,470-480k,,,,,想換工作了,賣肝拼經濟,10 hr,1,1,工作繁雜事務很多，樓層面很大每天走路走到腳痠，事務非常多，文書作業非常大，加班只能折抵，中餐自己，有不同班別可能7.或者8或者9點上班也可能晚班15上班，時間8.5小時，應該可以算正常下班,若是要輕鬆點這裡可以來，環境好不會吵雜，若是想多賺錢的，這裡不適合，這裡可以學到很多文書作業工作，營收若是好有獎金，年終，每個月平均月休9天，是以國訂假日平均攤在每個月，所以和外面休假天數是一樣的，自己排休
9,生產技術員,中華汽車工業股份有限公司,2022.12.12,全職,桃園,30-31k,410-420k,50k,2000,,,有苦說不出,常常加班,9 hr,1,1,無聊的產線，每天做一樣的工作，做兩小時休息十分鐘，人力短缺，常常加班，沒五分鐘就要做一台車，時間上往往來不及。跟管理職反映，回答只有：其他人都來得及，為什麼我來不及？ 唉,新進同仁能撐過一個月的日子，就代表你很適合這種生產模式，生活簡單，沒煩惱，月薪少了點，但福利還不錯
